City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sasebo,33.1592,129.7228,14.06,31,100,0.72,JP,1740624557
1,kupang,-10.1667,123.5833,31.32,79,20,4.12,ID,1740624386
2,west island,-12.1568,96.8225,29.99,89,75,5.66,CC,1740624559
3,silver city,32.7701,-108.2803,15.17,16,0,5.81,US,1740624560
4,petauke,-14.2426,31.3253,18.7,97,100,1.07,ZM,1740624561
5,badger,64.8,-147.5333,-7.86,54,75,3.09,US,1740624562
6,constantia,44.1833,28.65,3.38,88,97,6.08,RO,1740624563
7,black forest,39.0131,-104.7008,0.44,50,0,2.57,US,1740624564
8,port-aux-francais,-49.35,70.2167,6.18,73,92,8.55,TF,1740624565
9,mugia,43.1041,-9.2179,10.51,77,100,6.53,ES,1740624567
10,dawson creek,55.7666,-120.2362,4.8,65,0,1.54,CA,1740624568
11,lebu,-37.6167,-73.65,13.78,96,23,4.95,CL,1740624569
12,nar'yan-mar,67.6713,53.087,-1.58,97,100,5.4,RU,1740624570
13,grytviken,-54.2811,-36.5092,1.2,83,40,8.61,GS,1740624571
14,wailua homesteads,22.0669,-159.378,26.74,66,75,4.12,US,1740624572
15,hawaiian paradise park,19.5933,-154.9731,27.15,65,0,2.24,US,1740624573
16,longyearbyen,78.2186,15.6401,3.91,75,75,8.75,SJ,1740624574
17,pantai remis,4.4557,100.6288,27.01,80,100,2.48,MY,1740624575
18,susuman,62.7833,148.1667,-28.03,93,100,1.32,RU,1740624576
19,bodo,67.28,14.405,4.02,88,75,6.17,NO,1740624577
20,port shepstone,-30.7414,30.455,21.89,77,38,2.61,ZA,1740624578
21,sandnessjoen,66.0217,12.6316,2.75,98,100,7.69,NO,1740624579
22,hami,42.8,93.45,4.22,26,53,3.85,CN,1740624580
23,port lincoln,-34.7333,135.8667,24.76,63,100,3.21,AU,1740624581
24,codrington,-38.2667,141.9667,23.2,50,98,5.65,AU,1740624582
25,gisborne,-38.6533,178.0042,19.24,84,88,4.31,NZ,1740624583
26,annaba,36.9,7.7667,6.98,93,20,4.12,DZ,1740624584
27,bubaque,11.2833,-15.8333,24.86,65,100,2.31,GW,1740624585
28,saquarema,-22.92,-42.5103,23.53,87,0,4.44,BR,1740624586
29,tazovsky,67.4667,78.7,-34.62,99,61,1.58,RU,1740624587
30,adamstown,-25.066,-130.1015,25.9,78,14,6.65,PN,1740624588
31,avarua,-21.2078,-159.775,30.03,79,75,3.6,CK,1740624589
32,whitehorse,60.7161,-135.0538,-3.83,92,75,3.09,CA,1740624299
33,waitangi,-43.9535,-176.5597,16.01,77,47,2.24,NZ,1740624591
34,coldwater,41.9403,-85.0005,1.97,93,100,1.54,US,1740624592
35,talnakh,69.4865,88.3972,-29.64,96,78,4.25,RU,1740624593
36,timbuktu,16.7735,-3.0074,18.56,16,0,5.01,ML,1740624594
37,holualoa,19.6228,-155.9522,25.91,71,40,5.14,US,1740624596
38,iqaluit,63.7506,-68.5145,-28.15,63,20,0.0,CA,1740624597
39,ilulissat,69.2167,-51.1,-8.99,73,75,6.17,GL,1740624598
40,bethel,41.3712,-73.414,6.46,64,100,0.45,US,1740624599
41,edinburgh of the seven seas,-37.0676,-12.3116,18.06,80,86,2.19,SH,1740624600
42,portland,45.5234,-122.6762,13.39,64,0,1.79,US,1740624035
43,bengkulu,-3.8004,102.2655,27.91,76,45,0.85,ID,1740624602
